t_end,latency_ms,cache_hit
1756718862.583393,0.015,1
1756718862.583412,0.013,1
1756718862.583431,0.013,1
1756718862.583735,0.057,1
1756718862.583756,0.014,1
1756718862.583775,0.013,1
1756718862.583794,0.013,1
1756718862.584090,0.057,1
1756718862.584113,0.014,1
1756718862.584133,0.014,1
1756718862.584151,0.012,1
1756718862.584434,0.057,1
1756718862.584455,0.014,1
1756718862.584474,0.013,1
1756718862.584492,0.012,1
1756718862.584777,0.057,1
1756718862.584799,0.014,1
1756718862.584818,0.013,1
1756718862.584837,0.013,1
1756718862.585120,0.056,1
1756718862.585141,0.014,1
1756718862.585160,0.013,1
1756718862.585179,0.013,1
1756718862.585463,0.059,1
1756718862.585484,0.014,1
1756718862.585504,0.014,1
1756718862.585523,0.013,1
1756718862.585822,0.059,1
1756718862.585844,0.014,1
1756718862.585863,0.014,1
1756718862.585883,0.013,1
1756718862.586173,0.056,1
1756718862.586194,0.014,1
1756718862.586214,0.013,1
1756718862.586233,0.013,1
1756718862.586519,0.058,1
1756718862.586541,0.015,1
1756718862.586560,0.013,1
1756718862.586579,0.013,1
1756718862.587031,0.117,1
1756718862.587056,0.016,1
1756718862.587077,0.014,1
1756718862.587096,0.013,1
1756718862.587513,0.124,1
1756718862.587538,0.015,1
1756718862.587557,0.013,1
1756718862.587575,0.012,1
1756718862.587891,0.055,1
1756718862.587912,0.013,1
1756718862.587929,0.012,1
1756718862.587946,0.012,1
1756718862.588269,0.054,1
1756718862.588291,0.014,1
1756718862.588309,0.013,1
1756718862.588327,0.011,1
1756718862.588599,0.056,1
1756718862.588620,0.013,1
1756718862.588638,0.012,1
1756718862.588655,0.011,1
1756718862.588936,0.053,1
1756718862.588955,0.012,1
1756718862.588972,0.012,1
1756718862.588989,0.011,1
1756718862.589238,0.049,1
1756718862.589257,0.013,1
1756718862.589274,0.011,1
1756718862.589291,0.011,1
1756718862.589543,0.052,1
1756718862.589562,0.013,1
1756718862.589579,0.012,1
1756718862.589595,0.012,1
1756718862.589861,0.051,1
1756718862.589881,0.013,1
1756718862.589898,0.012,1
1756718862.589915,0.012,1
1756718862.590165,0.050,1
1756718862.590184,0.013,1
1756718862.590201,0.012,1
1756718862.590217,0.011,1
